,Party,Parliament Constituency,Winning Candidate,Total Votes,Margin
0,Aam Aadmi Party,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,303859,44111
1,Aam Aadmi Party,Anandpur Sahib,MALVINDER SINGH KANG,313217,10846
2,Aam Aadmi Party,Sangrur,GURMEET SINGH MEET HAYER,364085,172560
3,Asom Gana Parishad,Barpeta,PHANI BHUSAN CHOUDHURY,860113,222351
4,All India Majlis-E-Ittehadul Muslimeen,Hyderabad,ASADUDDIN OWAISI,661981,338087
5,All India Trinamool Congress,Coochbehar,JAGADISH CHANDRA BARMA BASUNIA,788375,39250
6,All India Trinamool Congress,Jangipur,KHALILUR RAHAMAN,544427,116637
7,All India Trinamool Congress,Baharampur,PATHAN YUSUF,524516,85022
8,All India Trinamool Congress,Murshidabad,ABU TAHER KHAN,682442,164215
9,All India Trinamool Congress,Krishnanagar,MAHUA MOITRA,628789,56705
10,All India Trinamool Congress,Barrackpur,PARTHA BHOWMICK,520231,64438
11,All India Trinamool Congress,Dum dum,SOUGATA RAY,528579,70660
12,All India Trinamool Congress,Barasat,KAKOLI GHOSH DASTIDAR,692010,114189
13,All India Trinamool Congress,Basirhat,SK NURUL ISLAM,803762,333547
14,All India Trinamool Congress,Joynagar,PRATIMA MONDAL,894312,470219
15,All India Trinamool Congress,Mathurapur,BAPI HALDAR,755731,201057
16,All India Trinamool Congress,Diamond harbour,ABHISHEK BANERJEE,1048230,710930
17,All India Trinamool Congress,Jadavpur,SAYANI GHOSH,717899,258201
18,All India Trinamool Congress,Kolkata Dakshin,MALA ROY,615274,187231
19,All India Trinamool Congress,Kolkata Uttar,BANDYOPADHYAY SUDIP,454696,92560
20,All India Trinamool Congress,Howrah,PRASUN BANERJEE,626493,169442
21,All India Trinamool Congress,Uluberia,SAJDA AHMED,724622,218673
22,All India Trinamool Congress,Srerampur,KALYAN BANERJEE,673970,174830
23,All India Trinamool Congress,Hooghly,RACHNA BANERJEE,702744,76853
24,All India Trinamool Congress,Arambagh,BAG MITALI,712587,6399
25,All India Trinamool Congress,Ghatal,ADHIKARI DEEPAK (DEV),837990,182868
26,All India Trinamool Congress,Jhargram,KALIPADA SAREN (KHERWAL),743478,174048
27,All India Trinamool Congress,Medinipur,JUNE MALIAH,702192,27191
28,All India Trinamool Congress,Bankura,ARUP CHAKRABORTY,641813,32778
29,All India Trinamool Congress,Bardhaman Purba,DR. SHARMILA SARKAR,720302,160572
30,All India Trinamool Congress,Bardhaman-Durgapur,AZAD KIRTI JHA,720667,137981
31,All India Trinamool Congress,Asansol,SHATRUGHAN PRASAD SINHA,605645,59564
32,All India Trinamool Congress,Bolpur,ASIT KUMAR MAL,855633,327253
33,All India Trinamool Congress,Birbhum,SATABDI ROY,717961,197650
34,AJSU Party,Giridih,CHANDRA PRAKASH CHOUDHARY,451139,80880
35,Bharatiya Janata Party,Anakapalle,C.M.RAMESH,762069,296530
36,Bharatiya Janata Party,Rajahmundry,DAGGUBATI PURANDHESHWARI,726515,239139
37,Bharatiya Janata Party,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
38,Bharatiya Janata Party,Arunachal West,KIREN RIJIJU,205417,100738
39,Bharatiya Janata Party,Arunachal East,TAPIR GAO,145581,30421
40,Bharatiya Janata Party,Darrang-Udalguri,DILIP SAIKIA,868387,329012
41,Bharatiya Janata Party,Guwahati,BIJULI KALITA MEDHI,894887,251090
42,Bharatiya Janata Party,Diphu,AMARSING TISSO,334620,147603
43,Bharatiya Janata Party,Karimganj,KRIPANATH MALLAH,545093,18360
44,Bharatiya Janata Party,Silchar ,PARIMAL SUKLABAIDYA,652405,264311
45,Bharatiya Janata Party,Kaziranga,KAMAKHYA PRASAD TASA,897043,248947
46,Bharatiya Janata Party,Sonitpur,RANJIT DUTTA,775788,361408
47,Bharatiya Janata Party,Lakhimpur,PRADAN BARUAH,663122,201257
48,Bharatiya Janata Party,Dibrugarh,SARBANANDA SONOWAL,693762,279321
49,Bharatiya Janata Party,Paschim Champaran,DR.SANJAY JAISWAL,580421,136568
50,Bharatiya Janata Party,Purvi Champaran,RADHA MOHAN SINGH,542193,88287
51,Bharatiya Janata Party,Madhubani,ASHOK KUMAR YADAV,553428,151945
52,Bharatiya Janata Party,Araria,PRADEEP KUMAR SINGH,600146,20094
53,Bharatiya Janata Party,Darbhanga,GOPAL JEE THAKUR,566630,178156
54,Bharatiya Janata Party,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,619749,234927
55,Bharatiya Janata Party,Maharajganj,"JANARDAN SINGH ""SIGRIWAL""",529533,102651
56,Bharatiya Janata Party,Saran,RAJIV PRATAP RUDY,471752,13661
57,Bharatiya Janata Party,Ujiarpur,NITYANAND RAI,515965,60102
58,Bharatiya Janata Party,Begusarai,GIRIRAJ SINGH,649331,81480
59,Bharatiya Janata Party,Patna Sahib,RAVI SHANKAR PRASAD,588270,153846
60,Bharatiya Janata Party,Nawada,VIVEK THAKUR,410608,67670
61,Bharatiya Janata Party,North Goa,SHRIPAD YESSO NAIK,257326,116015
62,Bharatiya Janata Party,Kachchh,CHAVDA VINOD LAKHAMSHI,659574,268782
63,Bharatiya Janata Party,Patan,DABHI  BHARATSINHJI  SHANKARJI,591947,31876
64,Bharatiya Janata Party,Mahesana,HARIBHAI PATEL,686406,328046
65,Bharatiya Janata Party,Sabarkantha,SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
66,Bharatiya Janata Party,Gandhinagar,AMIT SHAH,1010972,744716
67,Bharatiya Janata Party,Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
68,Bharatiya Janata Party,Ahmedabad West,DINESHBHAI MAKWANA (ADVOCATE),611704,286437
69,Bharatiya Janata Party,Surendranagar,CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
70,Bharatiya Janata Party,Rajkot,PARSHOTTAMBHAI RUPALA,857984,484260
71,Bharatiya Janata Party,Porbandar,DR. MANSUKH MANDAVIYA,633118,383360
72,Bharatiya Janata Party,Jamnagar,POONAMBEN HEMATBHAI MAADAM,620049,238008
73,Bharatiya Janata Party,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
74,Bharatiya Janata Party,Amreli,BHARATBHAI MANUBHAI SUTARIYA,580872,321068
75,Bharatiya Janata Party,Bhavnagar,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
76,Bharatiya Janata Party,Anand,MITESH PATEL (BAKABHAI),612484,89939
77,Bharatiya Janata Party,Kheda,DEVUSINH CHAUHAN,744435,357758
78,Bharatiya Janata Party,Panchmahal,RAJPALSINH MAHENDRASINH JADAV,794579,509342
79,Bharatiya Janata Party,Dahod,JASWANTSINH SUMANBHAI BHABHOR,688715,333677
80,Bharatiya Janata Party,Vadodara,DR. HEMANG JOSHI,873189,582126
81,Bharatiya Janata Party,Chhota Udaipur,JASHUBHAI BHILUBHAI RATHVA,796589,398777
82,Bharatiya Janata Party,Bharuch,MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
83,Bharatiya Janata Party,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,763950,230253
84,Bharatiya Janata Party,Surat,MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
85,Bharatiya Janata Party,Navsari,C R PATIL,1031065,773551
86,Bharatiya Janata Party,Valsad,DHAVAL LAXMANBHAI PATEL,764226,210704
87,Bharatiya Janata Party,KURUKSHETRA,NAVEEN JINDAL,542175,29021
88,Bharatiya Janata Party,KARNAL,MANOHAR LAL,739285,232577
89,Bharatiya Janata Party,BHIWANI-MAHENDRAGARH,DHARAMBIR SINGH,588664,41510
90,Bharatiya Janata Party,GURGAON,RAO INDERJIT SINGH,808336,75079
91,Bharatiya Janata Party,FARIDABAD,KRISHAN PAL,788569,172914
92,Bharatiya Janata Party,KANGRA,DR RAJEEV BHARDWAJ,632793,251895
93,Bharatiya Janata Party,MANDI,KANGNA RANAUT,537022,74755
94,Bharatiya Janata Party,HAMIRPUR,ANURAG SINGH THAKUR,607068,182357
95,Bharatiya Janata Party,SHIMLA,Suresh Kumar Kashyap,519748,91451
96,Bharatiya Janata Party,Belgaum,JAGADISH SHETTAR,762029,178437
97,Bharatiya Janata Party,Bagalkot,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
98,Bharatiya Janata Party,Bijapur,RAMESH JIGAJINAGI,672781,77229
99,Bharatiya Janata Party,Haveri,BASAVARAJ BOMMAI,705538,43513
100,Bharatiya Janata Party,Dharwad,PRALHAD JOSHI,716231,97324
101,Bharatiya Janata Party,Uttara Kannada,VISHWESHWAR HEGDE KAGERI,782495,337428
102,Bharatiya Janata Party,Shimoga,B.Y.RAGHAVENDRA,778721,243715
103,Bharatiya Janata Party,Udupi Chikmagalur,KOTA SRINIVAS POOJARY,732234,259175
104,Bharatiya Janata Party,Dakshina Kannada,CAPTAIN BRIJESH CHOWTA,764132,149208
105,Bharatiya Janata Party,Chitradurga,GOVIND MAKTHAPPA KARJOL,684890,48121
106,Bharatiya Janata Party,Tumkur,V. SOMANNA,720946,175594
107,Bharatiya Janata Party,Mysore,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262
108,Bharatiya Janata Party,Bangalore Rural,DR C N MANJUNATH,1079002,269647
109,Bharatiya Janata Party,Bangalore North,SHOBHA KARANDLAJE,986049,259476
110,Bharatiya Janata Party,Bangalore central,P C MOHAN,658915,32707
111,Bharatiya Janata Party,Bangalore South,TEJASVI SURYA,750830,277083
112,Bharatiya Janata Party,Chikkballapur,DR.K.SUDHAKAR,822619,163460
113,Bharatiya Janata Party,Thrissur,SURESH GOPI,412338,74686
114,Bharatiya Janata Party,MORENA,SHIVMANGAL SINGH TOMAR,515477,52530
115,Bharatiya Janata Party,BHIND,SANDHYA RAY,537065,64840
116,Bharatiya Janata Party,GWALIOR,BHARAT SINGH KUSHWAH,671535,70210
117,Bharatiya Janata Party,GUNA,JYOTIRADITYA M. SCINDIA,923302,540929
118,Bharatiya Janata Party,SAGAR,DR. LATA WANKHEDE,787979,471222
119,Bharatiya Janata Party,TIKAMGARH,DR. VIRENDRA KUMAR,715050,403312
120,Bharatiya Janata Party,DAMOH,RAHUL SINGH LODHI,709768,406426
121,Bharatiya Janata Party,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
122,Bharatiya Janata Party,SATNA,GANESH SINGH,459728,84949
123,Bharatiya Janata Party,REWA,JANARDAN MISHRA,477459,193374
124,Bharatiya Janata Party,SIDHI,DR. RAJESH MISHRA,583559,206416
125,Bharatiya Janata Party,SHAHDOL,SMT. HIMADRI SINGH,711143,397340
126,Bharatiya Janata Party,JABALPUR,ASHISH DUBEY,790133,486674
127,Bharatiya Janata Party,MANDLA,FAGGAN SINGH KULASTE,751375,103846
128,Bharatiya Janata Party,BALAGHAT,BHARTI PARDHI,712660,174512
129,Bharatiya Janata Party,CHHINDWARA,BUNTY VIVEK SAHU,644738,113618
130,Bharatiya Janata Party,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,812147,431696
131,Bharatiya Janata Party,VIDISHA,SHIVRAJ SINGH CHOUHAN,1116460,821408
132,Bharatiya Janata Party,BHOPAL,ALOK SHARMA,981109,501499
133,Bharatiya Janata Party,RAJGARH,RODMAL NAGAR,758743,146089
134,Bharatiya Janata Party,DEWAS,MAHENDRA SINGH SOLANKY,928941,425225
135,Bharatiya Janata Party,UJJAIN,ANIL FIROJIYA,836104,375860
136,Bharatiya Janata Party,MANDSOUR,SUDHEER GUPTA,945761,500655
137,Bharatiya Janata Party,RATLAM,ANITA NAGARSINGH CHOUHAN,795863,207232
138,Bharatiya Janata Party,DHAR,SAVITRI THAKUR,794449,218665
139,Bharatiya Janata Party,INDORE,SHANKAR LALWANI,1226751,1175092
140,Bharatiya Janata Party,KHARGONE,GAJENDRA SINGH PATEL,819863,135018
141,Bharatiya Janata Party,KHANDWA,GYANESHWAR PATIL,862679,269971
142,Bharatiya Janata Party,BETUL,DURGADAS (D. D.) UIKEY,848236,379761
143,Bharatiya Janata Party,Jalgaon,SMITA UDAY WAGH,674428,251594
144,Bharatiya Janata Party,Raver,KHADSE RAKSHA NIKHIL,630879,272183
145,Bharatiya Janata Party,Akola,ANUP SANJAY DHOTRE,457030,40626
146,Bharatiya Janata Party,Nagpur,NITIN JAIRAM GADKARI,655027,137603
147,Bharatiya Janata Party,Palghar,DR. HEMANT VISHNU SAVARA,601244,183306
148,Bharatiya Janata Party,Mumbai North,PIYUSH GOYAL,680146,357608
149,Bharatiya Janata Party,Pune,MURLIDHAR MOHOL,584728,123038
150,Bharatiya Janata Party,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771
151,Bharatiya Janata Party,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,448514,47858
152,Bharatiya Janata Party,Bargarh,PRADEEP PUROHIT,716359,251667
153,Bharatiya Janata Party,Sundargarh,JUAL ORAM,494282,138808
154,Bharatiya Janata Party,Sambalpur,DHARMENDRA PRADHAN,592162,119836
155,Bharatiya Janata Party,Keonjhar,ANANTA NAYAK,573923,97042
156,Bharatiya Janata Party,Mayurbhanj,NABA CHARAN MAJHI,585971,219334
157,Bharatiya Janata Party,Balasore,PRATAP CHANDRA SARANGI,563865,147156
158,Bharatiya Janata Party,Bhadrak,AVIMANYU SETHI,573319,91544
159,Bharatiya Janata Party,Jajpur,RABINDRA NARAYAN BEHERA,534239,1587
160,Bharatiya Janata Party,Dhenkanal,RUDRA NARAYAN PANY,598721,76567
161,Bharatiya Janata Party,Bolangir,SANGEETA KUMARI SINGH DEO,617744,132664
162,Bharatiya Janata Party,Kalahandi,MALVIKA DEVI,544303,133813
163,Bharatiya Janata Party,Nabarangpur,BALABHADRA MAJHI,481396,87536
164,Bharatiya Janata Party,Kandhamal,SUKANTA KUMAR PANIGRAHI,416415,21371
165,Bharatiya Janata Party,Cuttack,BHARTRUHARI MAHTAB,531601,57077
166,Bharatiya Janata Party,Kendrapara,BAIJAYANT PANDA,615705,66536
167,Bharatiya Janata Party,Jagatsinghpur,BIBHU PRASAD TARAI,589093,40696
168,Bharatiya Janata Party,Puri,SAMBIT PATRA,629330,104709
169,Bharatiya Janata Party,Bhubaneswar,APARAJITA SARANGI,512519,35152
170,Bharatiya Janata Party,Aska,ANITA SUBHADARSHINI,494226,99974
171,Bharatiya Janata Party,Berhampur,DR. PRADEEP KUMAR PANIGRAHY,513102,165476
172,Bharatiya Janata Party,BIKANER ,ARJUN RAM MEGHWAL,566737,55711
173,Bharatiya Janata Party,JAIPUR RURAL,RAO RAJENDRA SINGH,617877,1615
174,Bharatiya Janata Party,JAIPUR,MANJU SHARMA,886850,331767
175,Bharatiya Janata Party,ALWAR,BHUPENDER YADAV,631992,48282
176,Bharatiya Janata Party,AJMER ,BHAGIRATH CHOUDHARY,747462,329991
177,Bharatiya Janata Party,PALI,P. P. CHAUDHARY,757389,245351
178,Bharatiya Janata Party,JODHPUR,GAJENDRA SINGH SHEKHAWAT,730056,115677
179,Bharatiya Janata Party,JALORE ,LUMBARAM,796783,201543
180,Bharatiya Janata Party,UDAIPUR ,MANNA LAL RAWAT,738286,261608
181,Bharatiya Janata Party,CHITTORGARH,CHANDRA PRAKASH JOSHI,888202,389877
182,Bharatiya Janata Party,RAJSAMAND,MAHIMA KUMARI MEWAR,781203,392223
183,Bharatiya Janata Party,BHILWARA,DAMODAR AGARWAL,807640,354606
184,Bharatiya Janata Party,KOTA,OM BIRLA,750496,41974
185,Bharatiya Janata Party,JHALAWAR-BARAN,DUSHYANT SINGH,865376,370989
186,Bharatiya Janata Party,Tripura West,BIPLAB KUMAR DEB,881341,611578
187,Bharatiya Janata Party,Tripura East,KRITI DEVI DEBBARMAN,777447,486819
188,Bharatiya Janata Party,Amroha,KANWAR SINGH TANWAR,476506,28670
189,Bharatiya Janata Party,Meerut,ARUN GOVIL,546469,10585
190,Bharatiya Janata Party,Ghaziabad,ATUL GARG,854170,336965
191,Bharatiya Janata Party,Gautam Buddha Nagar,DR. MAHESH SHARMA,857829,559472
192,Bharatiya Janata Party,Bulandshahr,DR BHOLA SINGH,597310,275134
193,Bharatiya Janata Party,Aligarh,SATISH KUMAR GAUTAM,501834,15647
194,Bharatiya Janata Party,Hathras,ANOOP PRADHAN BALMIKI,554746,247318
195,Bharatiya Janata Party,Mathura,HEMAMALINI DHARMENDRA DEOL,510064,293407
196,Bharatiya Janata Party,Agra,PROF S P SINGH BAGHEL,599397,271294
197,Bharatiya Janata Party,Fatehpur Sikri,RAJKUMAR CHAHAR,445657,43405
198,Bharatiya Janata Party,Bareilly,CHHATRA PAL SINGH GANGWAR,567127,34804
199,Bharatiya Janata Party,Pilibhit,JITIN PRASADA,607158,164935
200,Bharatiya Janata Party,Shahjahanpur,ARUN KUMAR SAGAR,592718,55379
201,Bharatiya Janata Party,Hardoi,JAI PRAKASH,486798,27856
202,Bharatiya Janata Party,Misrikh,ASHOK KUMAR RAWAT,475016,33406
203,Bharatiya Janata Party,Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
204,Bharatiya Janata Party,Lucknow,RAJ NATH SINGH,612709,135159
205,Bharatiya Janata Party,Farrukhabad,MUKESH RAJPUT,487963,2678
206,Bharatiya Janata Party,Kanpur,RAMESH AWASTHI,443055,20968
207,Bharatiya Janata Party,Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
208,Bharatiya Janata Party,Jhansi,ANURAG SHARMA,690316,102614
209,Bharatiya Janata Party,Phulpur,PRAVEEN PATEL,452600,4332
210,Bharatiya Janata Party,Baharaich,ANAND KUMAR,518802,64227
211,Bharatiya Janata Party,Kaiserganj,KARAN BHUSHAN SINGH,571263,148843
212,Bharatiya Janata Party,Gonda,KIRTIVARDHAN SINGH,474258,46224
213,Bharatiya Janata Party,Domariyaganj,JAGDAMBIKA PAL,463303,42728
214,Bharatiya Janata Party,Maharajganj,PANKAJ CHAUDHARY,591310,35451
215,Bharatiya Janata Party,Gorakhpur,RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
216,Bharatiya Janata Party,Kushi Nagar,VIJAY KUMAR DUBAY,516345,81790
217,Bharatiya Janata Party,Deoria,SHASHANK MANI,504541,34842
218,Bharatiya Janata Party,Bansgaon,KAMLESH PASWAN,428693,3150
219,Bharatiya Janata Party,Varanasi,NARENDRA MODI,612970,152513
220,Bharatiya Janata Party,Bhadohi,DR. VINOD KUMAR BIND,459982,44072
221,Bharatiya Janata Party,Alipurduars,MANOJ TIGGA,695314,75447
222,Bharatiya Janata Party,Jalpaiguri,DR JAYANTA KUMAR ROY,766568,86693
223,Bharatiya Janata Party,Darjeeling,RAJU BISTA,679331,178525
224,Bharatiya Janata Party,Raiganj,KARTICK CHANDRA PAUL,560897,68197
225,Bharatiya Janata Party,Balurghat,SUKANTA MAJUMDAR,574996,10386
226,Bharatiya Janata Party,Maldaha Uttar,KHAGEN MURMU,527023,77708
227,Bharatiya Janata Party,Ranaghat,JAGANNATH SARKAR,782396,186899
228,Bharatiya Janata Party,Bangaon,SHANTANU THAKUR,719505,73693
229,Bharatiya Janata Party,Tamluk,ABHIJIT GANGOPADHYAY,765584,77733
230,Bharatiya Janata Party,Kanthi,ADHIKARI SOUMENDU,763195,47764
231,Bharatiya Janata Party,Purulia,JYOTIRMAY SINGH MAHATO,578489,17079
232,Bharatiya Janata Party,Bishnupur,KHAN SAUMITRA,680130,5567
233,Bharatiya Janata Party,SURGUJA,CHINTAMANI MAHARAJ,713200,64822
234,Bharatiya Janata Party,RAIGARH,RADHESHYAM RATHIYA,808275,240391
235,Bharatiya Janata Party,JANJGIR-CHAMPA,KAMLESH JANGDE,678199,60000
236,Bharatiya Janata Party,BILASPUR,TOKHAN SAHU,724937,164558
237,Bharatiya Janata Party,RAJNANDGAON,SANTOSH PANDEY,712057,44411
238,Bharatiya Janata Party,DURG,VIJAY BAGHEL,956497,438226
239,Bharatiya Janata Party,RAIPUR,BRIJMOHAN AGRAWAL,1050351,575285
240,Bharatiya Janata Party,MAHASAMUND,ROOP KUMARI CHOUDHARY,703659,145456
241,Bharatiya Janata Party,BASTAR,MAHESH KASHYAP,458398,55245
242,Bharatiya Janata Party,KANKER,BHOJRAJ NAG,597624,1884
243,Bharatiya Janata Party,Godda,NISHIKANT DUBEY,693140,101813
244,Bharatiya Janata Party,Chatra,KALI CHARAN SINGH,574556,220959
245,Bharatiya Janata Party,Kodarma,ANNPURNA DEVI,791657,377014
246,Bharatiya Janata Party,Dhanbad,DULU MAHATO,789172,331583
247,Bharatiya Janata Party,Ranchi,SANJAY SETH,664732,120512
248,Bharatiya Janata Party,Jamshedpur,BIDYUT BARAN MAHATO,726174,259782
249,Bharatiya Janata Party,Palamau,VISHNU DAYAL RAM,770362,288807
250,Bharatiya Janata Party,Hazaribagh,MANISH JAISWAL,654613,276686
251,Bharatiya Janata Party,Tehri Garhwal,MALA RAJYA LAKSHMI SHAH,462603,272493
252,Bharatiya Janata Party,Garhwal,ANIL BALUNI,432159,163503
253,Bharatiya Janata Party,Almora,AJAY TAMTA,429167,234097
254,Bharatiya Janata Party,Nainital-Udhamsingh Nagar,AJAY BHATT,772671,334548
255,Bharatiya Janata Party,Haridwar,TRIVENDRA SINGH RAWAT,653808,164056
256,Bharatiya Janata Party,Adilabad ,GODAM NAGESH,568168,90652
257,Bharatiya Janata Party,Karimnagar ,BANDI SANJAY KUMAR,585116,225209
258,Bharatiya Janata Party,Nizamabad,ARVIND DHARMAPURI,592318,109241
259,Bharatiya Janata Party,Medak,MADHAVANENI RAGHUNANDAN RAO,471217,39139
260,Bharatiya Janata Party,Malkajgiri,EATALA RAJENDER,991042,391475
261,Bharatiya Janata Party,Secunderabad,G. KISHAN REDDY,473012,49944
262,Bharatiya Janata Party,Chevella,KONDA VISHWESHWAR REDDY,809882,172897
263,Bharatiya Janata Party,Mahbubnagar,ARUNA. D. K,510747,4500
264,Bharatiya Janata Party,Andaman & Nicobar Islands,BISHNU PADA RAY,102436,24396
265,Bharatiya Janata Party,Dadar & Nagar Haveli,DELKAR KALABEN MOHANBHAI,121074,57584
266,Bharatiya Janata Party,Chandni Chowk,PRAVEEN KHANDELWAL,516496,89325
267,Bharatiya Janata Party,North-East Delhi,MANOJ TIWARI,824451,138778
268,Bharatiya Janata Party,East Delhi,HARSH MALHOTRA,664819,93663
269,Bharatiya Janata Party,New Delhi,BANSURI SWARAJ,453185,78370
270,Bharatiya Janata Party,North-West Delhi,YOGENDER CHANDOLIYA,866483,290849
271,Bharatiya Janata Party,West Delhi,KAMALJEET SEHRAWAT,842658,199013
272,Bharatiya Janata Party,South Delhi,RAMVIR SINGH BIDHURI,692832,124333
